Time, Data
0:0:14:524, 1810 
0:0:14:540, 1737 
0:0:14:556, 1649 
0:0:14:572, 1575 
0:0:14:588, 1511 
0:0:14:604, 1446 
0:0:14:620, 1402 
0:0:14:636, 1360 
0:0:14:652, 1324 
0:0:14:668, 1283 
0:0:14:684, 1258 
0:0:14:700, 1241 
0:0:14:716, 1229 
0:0:14:731, 1227 
0:0:14:746, 1228 
0:0:14:761, 1232 
0:0:14:776, 1226 
0:0:14:791, 1214 
0:0:14:807, 1201 
0:0:14:823, 1178 
0:0:14:839, 1173 
0:0:14:855, 1198 
0:0:14:871, 1327 
0:0:14:887, 1622 
0:0:14:902, 2044 
0:0:14:917, 2500 
0:0:14:933, 2891 
0:0:14:949, 3242 
0:0:14:964, 3341 
0:0:14:979, 3347 
0:0:14:994, 3293 
0:0:15:10, 3200 
0:0:15:26, 3067 
0:0:15:42, 2967 
0:0:15:57, 2889 
0:0:15:73, 2783 
0:0:15:89, 2671 
0:0:15:105, 2519 
0:0:15:121, 2464 
0:0:15:137, 2366 
0:0:15:153, 2291 
0:0:15:168, 2246 
0:0:15:183, 2225 
0:0:15:198, 2223 
0:0:15:213, 2229 
0:0:15:229, 2231 
0:0:15:245, 2231 
0:0:15:261, 2225 
0:0:15:277, 2194 
0:0:15:293, 2142 
0:0:15:309, 2082 
0:0:15:325, 2011 
0:0:15:341, 1941 
0:0:15:357, 1845 
0:0:15:373, 1769 
0:0:15:389, 1695 
0:0:15:405, 1621 
0:0:15:421, 1558 
0:0:15:436, 1496 
0:0:15:451, 1443 
0:0:15:467, 1399 
0:0:15:482, 1369 
0:0:15:498, 1328 
0:0:15:514, 1301 
0:0:15:530, 1279 
0:0:15:546, 1266 
0:0:15:562, 1249 
0:0:15:578, 1235 
0:0:15:594, 1222 
0:0:15:610, 1208 
0:0:15:626, 1193 
0:0:15:642, 1181 
0:0:15:658, 1163 
0:0:15:673, 1163 
0:0:15:688, 1193 
0:0:15:704, 1284 
0:0:15:720, 1463 
0:0:15:736, 1845 
0:0:15:752, 2298 
0:0:15:767, 2716 
0:0:15:783, 3041 
0:0:15:799, 3269 
0:0:15:815, 3333 
0:0:15:830, 3298 
0:0:15:845, 3239 
0:0:15:861, 3119 
0:0:15:877, 3041 
0:0:15:893, 2936 
0:0:15:908, 2862 
0:0:15:923, 2758 
0:0:15:939, 2642 
0:0:15:954, 2525 
0:0:15:969, 2438 
0:0:15:985, 2328 
0:0:16:1, 2244 
0:0:16:17, 2202 
0:0:16:33, 2179 
0:0:16:49, 2179 
0:0:16:65, 2193 
0:0:16:81, 2203 
0:0:16:97, 2217 
0:0:16:113, 2206 
0:0:16:128, 2177 
0:0:16:143, 2134 
0:0:16:158, 2073 
0:0:16:173, 2025 
0:0:16:189, 1937 
0:0:16:205, 1862 
0:0:16:221, 1792 
0:0:16:237, 1717 
0:0:16:253, 1647 
0:0:16:269, 1578 
0:0:16:284, 1526 
0:0:16:300, 1467 
0:0:16:316, 1413 
0:0:16:332, 1355 
0:0:16:348, 1327 
0:0:16:364, 1301 
0:0:16:379, 1268 
0:0:16:394, 1243 
0:0:16:410, 1222 
0:0:16:426, 1203 
0:0:16:441, 1192 
0:0:16:457, 1172 
0:0:16:473, 1159 
0:0:16:489, 1146 
