Time, Data
0:0:8:754, 2561 
0:0:8:770, 2414 
0:0:8:786, 2281 
0:0:8:802, 2169 
0:0:8:818, 2104 
0:0:8:833, 2079 
0:0:8:849, 2087 
0:0:8:864, 2095 
0:0:8:879, 2099 
0:0:8:895, 2086 
0:0:8:911, 2056 
0:0:8:927, 2010 
0:0:8:942, 1927 
0:0:8:958, 1846 
0:0:8:974, 1767 
0:0:8:990, 1666 
0:0:9:6, 1591 
0:0:9:21, 1503 
0:0:9:37, 1433 
0:0:9:53, 1365 
0:0:9:69, 1322 
0:0:9:85, 1270 
0:0:9:100, 1236 
0:0:9:116, 1203 
0:0:9:132, 1162 
0:0:9:148, 1142 
0:0:9:164, 1111 
0:0:9:180, 1080 
0:0:9:196, 1062 
0:0:9:212, 1038 
0:0:9:228, 1023 
0:0:9:244, 1067 
0:0:9:260, 1282 
0:0:9:276, 1626 
0:0:9:292, 2057 
0:0:9:308, 2492 
0:0:9:323, 2919 
0:0:9:338, 3120 
0:0:9:353, 3233 
0:0:9:369, 3220 
0:0:9:385, 3114 
0:0:9:401, 3001 
0:0:9:417, 2854 
0:0:9:433, 2639 
0:0:9:449, 2477 
0:0:9:465, 2265 
0:0:9:481, 2115 
0:0:9:497, 1999 
0:0:9:513, 1940 
0:0:9:529, 1939 
0:0:9:545, 1967 
0:0:9:560, 2023 
0:0:9:575, 2044 
0:0:9:590, 2062 
0:0:9:606, 2066 
0:0:9:622, 2031 
0:0:9:638, 1976 
0:0:9:654, 1915 
0:0:9:670, 1831 
0:0:9:686, 1741 
0:0:9:702, 1652 
0:0:9:717, 1565 
0:0:9:733, 1507 
0:0:9:749, 1436 
0:0:9:765, 1397 
0:0:9:781, 1365 
0:0:9:797, 1310 
0:0:9:813, 1272 
0:0:9:828, 1249 
0:0:9:844, 1214 
0:0:9:860, 1165 
0:0:9:876, 1141 
0:0:9:891, 1108 
0:0:9:907, 1065 
0:0:9:922, 1048 
0:0:9:938, 1114 
0:0:9:954, 1335 
0:0:9:969, 1684 
0:0:9:985, 1684 
0:0:10:1, 1885 
0:0:10:17, 2401 
0:0:10:32, 2740 
0:0:10:47, 2993 
0:0:10:62, 3103 
0:0:10:77, 3075 
0:0:10:93, 2991 
0:0:10:109, 2816 
0:0:10:124, 2687 
0:0:10:140, 2517 
0:0:10:156, 2318 
0:0:10:172, 2087 
0:0:10:188, 1933 
0:0:10:204, 1819 
0:0:10:220, 1770 
0:0:10:236, 1774 
0:0:10:252, 1825 
0:0:10:268, 1887 
0:0:10:283, 1942 
0:0:10:298, 2000 
0:0:10:313, 2009 
0:0:10:329, 1979 
0:0:10:344, 1926 
0:0:10:359, 1856 
0:0:10:375, 1759 
0:0:10:391, 1699 
0:0:10:407, 1620 
0:0:10:423, 1545 
0:0:10:439, 1481 
0:0:10:455, 1423 
0:0:10:470, 1360 
0:0:10:486, 1313 
0:0:10:502, 1250 
0:0:10:516, 1198 
0:0:10:532, 1160 
0:0:10:547, 1124 
0:0:10:563, 1093 
0:0:10:579, 1107 
0:0:10:595, 1218 
0:0:10:611, 1495 
0:0:10:627, 1881 
0:0:10:642, 2289 
0:0:10:658, 2729 
0:0:10:674, 3002 
0:0:10:690, 3133 
0:0:10:706, 3133 
0:0:10:721, 3064 
0:0:10:737, 3012 
0:0:10:752, 2873 
0:0:10:767, 2749 
0:0:10:782, 2581 
0:0:10:797, 2392 
0:0:10:812, 2147 
0:0:10:827, 1982 
0:0:10:843, 1852 
0:0:10:858, 1793 
0:0:10:874, 1795 
0:0:10:890, 1838 
0:0:10:906, 1891 
0:0:10:922, 1938 
